"NOME_MUNICIPIO";"RENDA";"EDUCACAO";"SOBREVIVENCIA";"INFRAESTRUTURA";"Acesso a informação";"HABITACAO";"MOBILIDADE";"MIQL-M";"MIQL-T"
"Chavantes";0.5304923554;0.6977969635;0.9237328644;0.8419682279;0.6719732674;0.9162532389;0.849232;0.7494965483;0.7629930748
"Clementina";0.5351798472;0.7082135818;0.921455801;0.8360245966;0.6359720302;0.9305893096;0.816927;0.7463209052;0.7560209695
"Colina";0.5340927028;0.712430655;0.93156651;0.8558586664;0.6888158079;0.9172352008;0.860631;0.7593228985;0.7730303883
"Colômbia";0.5246114118;0.6860585023;0.9447392499;0.7494135491;0.6530446458;0.9310404882;0.855587;0.7328649823;0.7492551117
"Conchal";0.5284546086;0.6954481383;0.9421915749;0.8445268875;0.6641439337;0.9388041972;0.863911;0.7530267339;0.7679501918
"Conchas";0.5349965837;0.6858474532;0.9198037194;0.7714449425;0.6851810453;0.9189117943;0.884153;0.7397920054;0.758873379
"Cordeirópolis";0.5502354414;0.710853402;0.9518427606;0.8693162444;0.7347852672;0.9407777688;0.888776;0.779147802;0.7939393829
"Coroados";0.5321452219;0.6922433453;0.9315621452;0.7396505845;0.6579375019;0.9500652641;0.881955;0.7357736759;0.755070346
"Coronel Macedo";0.5074117524;0.6810523629;0.8980406478;0.7218322429;0.6169608324;0.9336632389;0.821176;0.7108645525;0.7256659933
"Corumbataí";0.5372389117;0.7153442695;0.9465916475;0.634382882;0.6546014309;0.9215464615;0.895788;0.7199159774;0.7427493867
"Cosmópolis";0.5472369216;0.7180819084;0.9482279906;0.8895090152;0.7030232122;0.9297477613;0.852803;0.7749812904;0.7856479901
"Cosmorama";0.5301732462;0.6816233303;0.9337080293;0.7130892163;0.6794915077;0.9340045039;0.863567;0.7310970591;0.7486978888
"Cotia";0.536643447;0.745073183;0.948939623;0.805744463;0.716667378;0.894037167;0.70903;0.7620772212;0.7542627186
"Cravinhos";0.5442791037;0.7148507829;0.9505760153;0.9093961815;0.7177203083;0.9397912328;0.838052;0.7809572783;0.7888691031
"Cristais Paulista";0.5343409966;0.7010080002;0.946159163;0.6747187018;0.6627970934;0.9226880941;0.898122;0.7258451652;0.7482677674
"Cruzália";0.5255743315;0.7333112736;0.9313130959;0.7257117643;0.66050687;0.9490714915;0.892645;0.7393097632;0.7594857543
"Cruzeiro";0.5362336219;0.7538653144;0.9347977347;0.9092822408;0.7317735366;0.9387852318;0.86732;0.7861423367;0.7972564979
"Cubatão";0.5339192358;0.7257189369;0.9303832751;0.7293370292;0.7002380866;0.9063472823;0.791232;0.7419860802;0.7488289521
"Cunha";0.5062996525;0.6750733344;0.9233979765;0.5664165131;0.6180148928;0.9099971842;0.857371;0.6818995431;0.7045751347
"Descalvado";0.5427941782;0.7190435832;0.9467091014;0.8596871594;0.7228522462;0.9358771824;0.866364;0.7739316906;0.7865064914
"Diadema";0.524257584;0.734182364;0.94081883;0.918785218;0.722992304;0.907450953;0.74408;0.7759568731;0.7713207583
"Dirce Reis";0.5273594839;0.7153284508;0.9494486446;0.7319819317;0.6623666695;0.9553725658;0.89402;0.7412690871;0.7613780761
"Divinolândia";0.5313176079;0.6882386521;0.9398933132;0.7022126366;0.6708170586;0.9407020711;0.862671;0.7307734791;0.7483028673
"Dobrada";0.5284442503;0.705072212;0.9252090372;0.8509206993;0.6268681049;0.9261052634;0.815999;0.7445028696;0.7543196337
"Dois Córregos";0.5374207833;0.7174988107;0.942393177;0.8696874464;0.7170149404;0.9342192931;0.835655;0.772001248;0.7807888015
"Dolcinópolis";0.535132063;0.6951027774;0.9338307462;0.8275704193;0.6505823687;0.9662496599;0.862294;0.7519041145;0.7667635289
"Dourado";0.5414254144;0.7167476783;0.9345236166;0.8638104858;0.7147755635;0.9288612598;0.871081;0.7697311081;0.7834535509
"Dracena";0.5481299499;0.7385722899;0.9340089477;0.8604487912;0.6922563577;0.8414394235;0.884339;0.7578915578;0.7747831564
"Duartina";0.5366791035;0.70805828;0.9453143097;0.8117798675;0.7196127757;0.9459475778;0.864205;0.7637666467;0.7773665412
"Dumont";0.5393386898;0.7049191565;0.9364379211;0.8769496491;0.6834203734;0.9361800294;0.870476;0.7645695052;0.7788709738
"Echaporã";0.5269627992;0.7137639955;0.9242307424;0.7467974194;0.666992161;0.9433207781;0.841826;0.739349285;0.7531871412
"Eldorado";0.4996726205;0.695017551;0.9291785867;0.5928978314;0.5821844237;0.8757616782;0.864309;0.6784759895;0.7023501909
"Elias Fausto";0.528807153;0.6697450672;0.9395822727;0.7630903571;0.6544724029;0.931309064;0.870332;0.7327409538;0.750977319
"Elisiário";0.5420356053;0.6897527803;0.9164738215;0.8116028529;0.6555657149;0.9552261477;0.893996;0.7472820604;0.7666658711
"Embaúba";0.5409110833;0.6964135788;0.9212962125;0.7593144066;0.6621162384;0.9532791427;0.79657;0.7415857814;0.7492019547
"Embu";0.515474366;0.714659104;0.947167057;0.859951033;0.690747017;0.896492585;0.6492;0.7554029418;0.7392284092
"Embu-Guaçu";0.514930346;0.733858244;0.941452136;0.741693001;0.687761764;0.879105695;0.67236;0.7364507382;0.7269338099
"Emilianópolis";0.5269604467;0.7053075836;0.9242180219;0.7589601715;0.6572106296;0.953083541;0.794815;0.7393173926;0.7470018137
"Engenheiro Coelho";0.5347757588;0.7174395418;0.9407524029;0.7409569983;0.6232373529;0.9191884743;0.838046;0.7314992768;0.7458477443
"Espírito Santo do Pinhal";0.547296739;0.7331500062;0.9459030417;0.859687368;0.7327804661;0.9353087605;0.878182;0.7790917868;0.7925316456
"Espírito Santo do Turvo";0.5254839666;0.6956216499;0.9241722145;0.7696460426;0.6375672017;0.9343984758;0.868311;0.7328342628;0.7508098915
"Estiva Gerbi";0.5358597484;0.7222851996;0.9427833749;0.8335854871;0.7036525055;0.9510247309;0.876642;0.7669705003;0.7817548873
"Estrela do Norte";0.5217311325;0.7242179776;0.9227645736;0.6953688014;0.6517241144;0.9343393642;0.809349;0.7269955752;0.7382262628
"Estrela d'Oeste";0.5362336453;0.7289951815;0.9271491521;0.7700907825;0.6755458187;0.9272933428;0.905237;0.7477797497;0.7684740626
"Euclides da Cunha Paulista";0.5070558948;0.7226927701;0.9177065601;0.6341365837;0.6095851101;0.9134164755;0.792118;0.7010783626;0.7134135003
"Fartura";0.5309526023;0.7133508047;0.9335619008;0.7530680147;0.6593641478;0.9309407843;0.89484;0.7394303453;0.7598584811
"Fernando Prestes";0.5486732615;0.6912829952;0.9444668634;0.8013812853;0.6699296605;0.9450543589;0.902953;0.7526278149;0.7724637439
"Fernandópolis";0.5490692569;0.7454009065;0.937989005;0.8863876439;0.6988551987;0.9531189686;0.884206;0.7808401443;0.7948316997
"Fernão";0.5179743776;0.6601390972;0.9240527174;0.6525526955;0.6268061829;0.9338019414;0.890337;0.7029763032;0.7271094527
"Ferraz de Vasconcelos";0.513072059;0.721198224;0.941863526;0.883674239;0.675889147;0.896340711;0.6227;0.7559219627;0.7352730768
"Flora Rica";0.519978861;0.7387579496;0.9230998395;0.7432105029;0.6504925752;0.947023753;0.839658;0.7385987997;0.7522546125
"Floreal";0.5379958803;0.7256591387;0.9273094893;0.7627372876;0.6710848073;0.9637653634;0.916916;0.7504296824;0.772220573
"Flórida Paulista";0.5317071655;0.6977428053;0.9359106974;0.7640830959;0.601424416;0.589543434;0.837727;0.6743830159;0.6956057763
"Florínia";0.5141912452;0.6812075675;0.9237132287;0.7824738579;0.6390277109;0.9389583814;0.878354;0.7304595914;0.7499550802
"Franca";0.5460837134;0.7339694694;0.9431070049;0.9045720073;0.7212972571;0.9484195782;0.865113;0.7849512539;0.795931268
"Francisco Morato";0.505700471;0.701189669;0.940170076;0.796810058;0.657451843;0.878231044;0.58162;0.7316338746;0.708039443
"Franco da Rocha";0.518766473;0.727125011;0.94414566;0.814987545;0.664770455;0.666200624;0.64084;0.7104081747;0.7000255668
"Gabriel Monteiro";0.5405682638;0.7243699724;0.929198317;0.7858259298;0.6679556005;0.9703142811;0.878211;0.7550649232;0.7715388626
"Gália";0.5237818243;0.6871478436;0.9237528414;0.7364812541;0.671269917;0.9133477383;0.878206;0.7290241353;0.7486736504
"Garça";0.536911521;0.7325864015;0.926005098;0.8623505731;0.7095184377;0.9410076125;0.877154;0.7707897642;0.7851559493
"Gastão Vidigal";0.5376380695;0.686094093;0.9345850408;0.7901386249;0.6057766662;0.9174186185;0.803213;0.7300388689;0.7400692775
"Gavião Peixoto";0.5307516838;0.6856592633;0.9370669145;0.7952707367;0.6383855193;0.9428902022;0.842689;0.7392731177;0.7532308788
"General Salgado";0.5398857758;0.7223001033;0.9447440295;0.8070251251;0.666462936;0.9381741477;0.868833;0.7554633027;0.770704825
"Getulina";0.5275781523;0.6709545951;0.9246594359;0.7428440682;0.6130425433;0.5665266049;0.829008;0.6623614588;0.6839406788
