BA;Seabra;42163;44765;44999
BA;Sebastião Laranjeiras;10563;11336;11435
BA;Senhor do Bonfim;75437;80258;80810
BA;Sento Sé;38174;40720;41102
BA;Serra do Ramalho;31525;33034;33022
BA;Serra Dourada;17963;18467;18428
BA;Serra Preta;14993;15672;15507
BA;Serrinha;77211;82157;82733
BA;Serrolândia;12464;13238;13308
BA;Simões Filho;121416;129964;131630
BA;Sítio do Mato;12161;13188;13256
BA;Sítio do Quinto;11930;12317;12034
BA;Sobradinho;22109;23435;23511
BA;Souto Soares;16069;17073;17239
BA;Tabocas do Brejo Velho;11433;12990;13008
BA;Tanhaçu;20001;21246;21264
BA;Tanque Novo;16323;17493;17601
BA;Tanquinho;8035;8510;8532
BA;Taperoá;19174;20474;20886
BA;Tapiramutá;16434;17345;17413
BA;Teixeira de Freitas;143001;153385;155659
BA;Teodoro Sampaio;7746;8125;8067
BA;Teofilândia;21581;22873;22944
BA;Teolândia;14113;15016;15079
BA;Terra Nova;12793;13526;13537
BA;Tremedal;17750;18560;18367
BA;Tucano;52734;55923;56131
BA;Uauá;24015;25274;25178
BA;Ubaíra;20714;21897;20770
BA;Ubaitaba;20214;21183;20993
BA;Ubatã;25575;27312;26787
BA;Uibaí;13642;14436;14460
BA;Umburanas;17432;18635;18851
BA;Una;22992;22989;22535
BA;Urandi;16493;17239;17270
BA;Uruçuca;19642;22004;21924
BA;Utinga;18367;19516;19490
BA;Valença;90319;96287;96507
BA;Valente;25342;27162;27545
BA;Várzea da Roça;13834;14654;14693
BA;Várzea do Poço;8759;9309;9364
BA;Várzea Nova;12910;13581;13524
BA;Varzedo;8987;9449;9405
BA;Vera Cruz;38748;41524;42103
BA;Vereda;6681;6781;6737
BA;Vitória da Conquista;315884;336987;340199
BA;Wagner;8985;9504;9720
BA;Wanderley;12356;13089;13047
BA;Wenceslau Guimarães;21910;23046;22621
BA;Xique-Xique;45660;48100;48210
CE;Abaiara;10815;11089;11226
CE;Acarape;15673;16011;16153
CE;Acaraú;58848;60137;60684
CE;Acopiara;51768;52661;52903
CE;Aiuaba;16468;16784;16893
CE;Alcântaras;10956;11171;11247
CE;Altaneira;7033;7196;7271
CE;Alto Santo;16505;16767;16823
CE;Amontada;40274;41227;41672
CE;Antonina do Norte;7056;7172;7200
CE;Apuiarés;14135;14397;14483
CE;Aquiraz;74465;76186;76967
CE;Aracati;70363;71749;72248
CE;Aracoiaba;25592;25988;26062
CE;Ararendá;10564;10723;10750
CE;Araripe;20848;21170;21230
CE;Aratuba;11404;11482;11419
CE;Arneiroz;7667;7766;7768
CE;Assaré;22633;22988;23058
CE;Aurora;24470;24716;24658
CE;Baixio;6072;6165;6182
CE;Banabuiú;17488;17775;17842
CE;Barbalha;56576;57818;58347
CE;Barreira;19958;20371;20532
CE;Barro;21742;22104;22193
CE;Barroquinha;14560;14771;14800
CE;Baturité;33863;34512;34735
CE;Beberibe;50364;51442;51885
CE;Bela Cruz;31259;31804;31956
CE;Boa Viagem;52829;53608;53725
CE;Brejo Santo;46207;47218;47645
CE;Camocim;60870;61918;62201
CE;Campos Sales;26648;27030;27077
CE;Canindé;75209;76439;76724
CE;Capistrano;17202;17470;17523
CE;Caridade;20687;21236;21524
CE;Cariré;18391;18629;18637
CE;Caririaçu;26471;26821;26840
CE;Cariús;18586;18815;18813
CE;Carnaubal;16975;17282;17374
CE;Cascavel;67503;68926;69498
CE;Catarina;19228;19676;19882
CE;Catunda;10053;10218;10257
CE;Caucaia;336091;344936;349526
CE;Cedro;24622;24958;24986
CE;Chaval;12684;12865;12888
CE;Choró;12982;13195;13246
CE;Chorozinho;18947;19187;19189
CE;Coreaú;22252;22653;22773
CE;Crateús;73102;74103;74188
CE;Crato;123963;126591;127657
CE;Croatá;17272;17569;17650
CE;Cruz;22887;23344;23514
CE;Deputado Irapuan Pinheiro;9203;9360;9403
CE;Ererê;6922;7041;7073
CE;Eusébio;47993;49455;50308
CE;Farias Brito;18859;19015;18937
CE;Forquilha;22435;22998;23276
CE;Fortaleza;2500194;2551806;2571896
CE;Fortim;15233;15603;15781
CE;Frecheirinha;13167;13402;13473
CE;General Sampaio;6423;6591;6679
CE;Graça;15085;15281;15287
CE;Granja;52528;53435;53682
CE;Granjeiro;4551;4569;4531
CE;Groaíras;10445;10668;10759
CE;Guaiúba;24727;25310;25581
CE;Guaraciaba do Norte;38189;38832;38995
CE;Guaramiranga;3956;3909;3812
CE;Hidrolândia;19548;19882;19970
CE;Horizonte;58418;60584;62002
CE;Ibaretama;12977;13155;13172
CE;Ibiapina;24058;24458;24555
